Starting duty-cycle loop
iteration,frequency_in,frequency_out,resolution_out,ratio,read_val
1,5000,15000,12,0.04,0.0382
2,5000,15000,12,0.04,0.0379
3,5000,15000,12,0.04,0.0382
4,5000,15000,12,0.04,0.0383
0,10000,10000,12,0.237,0.2267
1,10000,10000,12,0.237,0.2261
2,10000,10000,12,0.237,0.226
3,10000,10000,12,0.237,0.22595
4,10000,10000,12,0.237,0.226
0,5000,15000,12,0.237,0.228
1,5000,15000,12,0.237,0.2278
2,5000,15000,12,0.237,0.2293
3,5000,15000,12,0.237,0.2268
4,5000,15000,12,0.237,0.226
0,10000,10000,12,0.489,0.4738
1,10000,10000,12,0.489,0.47335
2,10000,10000,12,0.489,0.47775
3,10000,10000,12,0.489,0.47375
4,10000,10000,12,0.489,0.4771
0,5000,15000,12,0.489,0.4732
1,5000,15000,12,0.489,0.4766
2,5000,15000,12,0.489,0.4786
3,5000,15000,12,0.489,0.4737
4,5000,15000,12,0.489,0.4742
0,10000,10000,12,0.894,0.8845
1,10000,10000,12,0.894,0.8879
2,10000,10000,12,0.894,0.88785
3,10000,10000,12,0.894,0.8879
4,10000,10000,12,0.894,0.8877
0,5000,15000,12,0.894,0.8913
1,5000,15000,12,0.894,0.8935
2,5000,15000,12,0.894,0.8923
3,5000,15000,12,0.894,0.8925
4,5000,15000,12,0.894,0.8916
0,10000,10000,12,0.427,0.41825
1,10000,10000,12,0.427,0.41255
2,10000,10000,12,0.427,0.4126
3,10000,10000,12,0.427,0.41265
4,10000,10000,12,0.427,0.4129
0,5000,15000,12,0.427,0.4151
